,Date,Open,High,Low,Close,Volume,Adj Close,ATR,SD_Log_Close,ATR_normalized,SD_normalized,Delta_Days
3215,2012-10-22,143.15,143.67,142.28,143.41,125578600,114.34,1.5199999999999858,0.009044959706312779,-0.5662054688010839,-0.13596505453670935,4667
3216,2012-10-23,141.86,142.06,140.83,141.42,192056300,112.75,1.69285714285713,0.010488748965881476,-0.49793501834100445,0.057634448741800764,4668
3217,2012-10-24,141.93,142.1,140.8,141.02,120179400,112.43,1.6699999999999875,0.009563520684250745,-0.5069625159225023,-0.06643056597956415,4669
3218,2012-10-25,142.02,142.28,140.57,141.43,134457400,112.76,1.6914285714285637,0.008207179776125248,-0.49849923693984605,-0.2483040107008957,4670
3219,2012-10-26,141.3,141.84,140.39,141.35,146023500,112.7,1.769999999999994,0.007512551083119649,-0.4674672140034458,-0.3414476388568896,4671
3220,2012-10-31,141.85,142.03,140.68,141.35,103438500,112.7,1.7928571428571363,0.007702550080622823,-0.45843971642194803,-0.31597043621374366,4676
3221,2012-11-01,141.65,143.01,141.52,142.83,100995600,113.88,1.63428571428571,0.0072841723914860365,-0.5210679808935899,-0.3720712225735821,4677
3222,2012-11-02,143.68,143.72,141.41,141.56,137702200,112.86,1.7657142857142836,0.007918442992496472,-0.4691598697999752,-0.2870210862839794,4678
3223,2012-11-05,141.35,142.17,140.93,141.85,98378500,113.1,1.5742857142857116,0.005886529548425906,-0.5447651620450215,-0.5594828952840697,4681
3224,2012-11-06,142.28,143.52,142.13,142.96,107068100,113.98,1.6271428571428592,0.0062621878070611104,-0.5238890738878054,-0.509110410662615,4682
3225,2012-11-07,141.66,141.68,139.06,139.72,264304500,111.4,1.9400000000000017,0.011239229025974014,-0.4003252007410511,0.15826725639805456,4683
3226,2012-11-08,139.7,140.41,137.93,138.04,181517300,110.06,2.087142857142855,0.011866371627086092,-0.342210685060159,0.24236159028744858,4684
3227,2012-11-09,137.62,139.44,137.55,138.16,201055300,110.15,2.164285714285711,0.011912141411330679,-0.3117428807226036,0.24849891776525768,4685
